frame,timestamp,hs_crop_source,composite_fear,hs_dominant,mp_ctx_tag,mp_velocity_tag,agreement_tag,veto_tag,hs_fear,hs_arousal,hs_dominant_score,mp_tension,mp_startle_score,f0,f1,f2,f3,f4,f5,f6,smoothed_composite,onset_slope,event_status,is_neutral_frame,mp_face_valence,mp_smile_level,mp_browDownLeft,mp_browDownRight,mp_browInnerUp,mp_eyeWideLeft,mp_eyeWideRight,mp_eyeSquintLeft,mp_eyeSquintRight,mp_mouthPressLeft,mp_mouthPressRight,mp_mouthFrownLeft,mp_mouthFrownRight,mp_mouthSmileLeft,mp_mouthSmileRight,mp_jawOpen,mp_noseSneerLeft,mp_noseSneerRight,mp_cheekSquintLeft,mp_cheekSquintRight,mp_vel_eyeWideLeft,mp_vel_eyeWideRight,mp_vel_browInnerUp,mp_vel_jawOpen,mp_vel_mouthPressLeft,mp_vel_mouthPressRight,mp_tension_velocity,hs_anger,hs_contempt,hs_disgust,hs_fear,hs_happiness,hs_neutral,hs_sadness,hs_surprise,mp_face_detected,hs_face_detected,latency_ms,cpu_percent,ram_mb
37,1.233,haar,0.3184,Anger,---,---,AMBIGUOUS,---,0.0007,0.4334,0.8714,0.1459,0.0473,0.3184,0.0588,0.0588,0.1308,0.0000,0.0451,0.0076,0.0531,0.000106,IDLE,0,-0.1312,0.0000,0.0723,0.1877,0.0007,0.0047,0.0026,0.5547,0.4411,0.0096,0.0104,0.0011,0.0013,0.0000,0.0000,0.0102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0146,0.0473,0.0293,0.0536,0.8714,0.0035,0.0010,0.0007,0.0000,0.0567,0.0660,0.0006,1,1,19.6,64.6,343.1
38,1.267,haar,0.2732,Anger,---,---,AMBIGUOUS,---,0.0012,0.3587,0.8170,0.1450,0.0553,0.2732,0.0588,0.0587,0.1159,0.0000,0.0452,0.0107,0.0532,0.000114,IDLE,0,-0.1330,0.0000,0.0811,0.1826,0.0007,0.0047,0.0028,0.5503,0.4287,0.0114,0.0102,0.0011,0.0013,0.0000,0.0000,0.0103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.0000,0.0050,0.0553,0.0000,0.0000,0.8170,0.0045,0.0006,0.0012,0.0000,0.0864,0.0891,0.0010,1,1,19.3,64.6,343.1
39,1.300,haar,0.2728,Anger,---,---,AMBIGUOUS,---,0.0012,0.3587,0.8170,0.1439,0.0123,0.2728,0.0583,0.0583,0.1155,0.0000,0.0440,0.0107,0.0534,0.000121,IDLE,0,-0.1362,0.0000,0.0827,0.1872,0.0007,0.0047,0.0030,0.5439,0.4155,0.0118,0.0105,0.0012,0.0014,0.0000,0.0000,0.0098,0.0000,0.0000,0.0000,0.0000,0.0006,0.0053,0.0002,0.0000,0.0123,0.0089,0.0000,0.8170,0.0045,0.0006,0.0012,0.0000,0.0864,0.0891,0.0010,1,1,17.9,64.6,343.1
40,1.333,haar,0.2649,Anger,---,---,AMBIGUOUS,---,0.0009,0.3456,0.8223,0.1439,0.0086,0.2649,0.0581,0.0581,0.1127,0.0000,0.0438,0.0103,0.0535,0.000123,IDLE,0,-0.1336,0.0000,0.0952,0.1703,0.0007,0.0045,0.0029,0.5551,0.4124,0.0107,0.0107,0.0008,0.0009,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0086,0.0000,0.0059,0.0000,0.8223,0.0029,0.0005,0.0009,0.0000,0.0885,0.0839,0.0011,1,1,18.5,64.6,343.1
41,1.367,haar,0.2367,Anger,CONC,---,AMBIGUOUS,---,0.0006,0.3697,0.8302,0.0370,0.0069,0.2367,0.0152,0.0152,0.0854,0.0000,0.0116,0.0026,0.0526,0.000018,IDLE,0,-0.1639,0.0000,0.1069,0.2193,0.0005,0.0043,0.0027,0.5680,0.4118,0.0098,0.0099,0.0007,0.0008,0.0000,0.0000,0.0103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069,0.0000,0.0000,0.0000,0.8302,0.0053,0.0008,0.0006,0.0001,0.0905,0.0718,0.0007,1,1,17.8,64.6,343.1
42,1.400,haar,0.2370,Anger,CONC,---,AMBIGUOUS,---,0.0006,0.3697,0.8302,0.0380,0.0045,0.2370,0.0155,0.0156,0.0856,0.0000,0.0118,0.0026,0.0517,-0.000082,IDLE,0,-0.1821,0.0000,0.1137,0.2489,0.0005,0.0042,0.0027,0.5735,0.4062,0.0099,0.0101,0.0007,0.0008,0.0000,0.0000,0.0104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0015,0.0045,0.0274,0.8302,0.0053,0.0008,0.0006,0.0001,0.0905,0.0718,0.0007,1,1,23.2,64.6,343.1
43,1.433,haar,0.3019,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.4791,0.8950,0.0359,0.0124,0.3019,0.0147,0.0147,0.1069,0.0000,0.0113,0.0015,0.0508,-0.000183,IDLE,0,-0.1742,0.0000,0.1197,0.2272,0.0005,0.0045,0.0031,0.5400,0.3567,0.0101,0.0099,0.0007,0.0007,0.0000,0.0000,0.0096,0.0000,0.0000,0.0000,0.0000,0.0084,0.0124,0.0007,0.0000,0.0080,0.0000,0.0000,0.8950,0.0059,0.0009,0.0005,0.0000,0.0643,0.0328,0.0006,1,1,19.2,64.6,343.1
44,1.467,haar,0.3020,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.4791,0.8950,0.0362,0.0151,0.3020,0.0148,0.0148,0.1070,0.0000,0.0114,0.0016,0.0500,-0.000278,IDLE,0,-0.1852,0.0000,0.1230,0.2461,0.0005,0.0050,0.0035,0.5277,0.3474,0.0094,0.0104,0.0007,0.0007,0.0000,0.0000,0.0098,0.0000,0.0000,0.0000,0.0000,0.0132,0.0115,0.0000,0.0071,0.0000,0.0151,0.0077,0.8950,0.0059,0.0009,0.0005,0.0000,0.0643,0.0328,0.0006,1,1,19.3,64.6,343.1
45,1.500,haar,0.2775,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.4389,0.8692,0.0354,0.0659,0.2775,0.0145,0.0145,0.0987,0.0000,0.0122,0.0019,0.0492,-0.000373,IDLE,0,-0.1699,0.0000,0.1232,0.2155,0.0005,0.0045,0.0034,0.5147,0.3391,0.0116,0.0104,0.0006,0.0006,0.0000,0.0000,0.0094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0659,0.0002,0.0000,0.8692,0.0072,0.0007,0.0005,0.0001,0.0834,0.0381,0.0007,1,1,18.8,64.6,343.1
46,1.533,haar,0.2499,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.3927,0.8421,0.0357,0.0429,0.2499,0.0146,0.0147,0.0895,0.0000,0.0118,0.0023,0.0485,-0.000464,IDLE,0,-0.1746,0.0000,0.1314,0.2165,0.0005,0.0044,0.0037,0.5050,0.3375,0.0130,0.0104,0.0006,0.0006,0.0000,0.0000,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0068,0.0000,0.0000,0.0429,0.0000,0.0097,0.8421,0.0088,0.0007,0.0005,0.0001,0.1016,0.0454,0.0008,1,1,18.0,64.6,343.1
47,1.567,haar,0.2200,Anger,CONC,---,AMBIGUOUS,---,0.0010,0.3423,0.7934,0.0365,0.0246,0.2200,0.0152,0.0152,0.0799,0.0000,0.0119,0.0031,0.0478,-0.000549,IDLE,0,-0.1827,0.0000,0.1417,0.2227,0.0005,0.0049,0.0037,0.5153,0.3282,0.0138,0.0101,0.0005,0.0006,0.0000,0.0000,0.0091,0.0000,0.0000,0.0000,0.0000,0.0135,0.0022,0.0000,0.0104,0.0246,0.0000,0.0218,0.7934,0.0091,0.0007,0.0010,0.0001,0.1312,0.0633,0.0012,1,1,17.1,64.6,343.1
48,1.600,haar,0.2201,Anger,CONC,---,AMBIGUOUS,---,0.0010,0.3423,0.7934,0.0369,0.0119,0.2201,0.0153,0.0154,0.0800,0.0000,0.0118,0.0032,0.0471,-0.000629,IDLE,0,-0.1948,0.0000,0.1482,0.2404,0.0004,0.0053,0.0040,0.5220,0.3233,0.0125,0.0098,0.0005,0.0005,0.0000,0.0000,0.0093,0.0000,0.0000,0.0000,0.0000,0.0119,0.0063,0.0000,0.0053,0.0000,0.0000,0.0118,0.7934,0.0091,0.0007,0.0010,0.0001,0.1312,0.0633,0.0012,1,1,18.3,64.6,343.1
49,1.633,haar,0.1984,Anger,CONC,---,AMBIGUOUS,---,0.0007,0.3056,0.7728,0.0376,0.0235,0.1984,0.0155,0.0156,0.0728,0.0000,0.0121,0.0035,0.0464,-0.000706,IDLE,0,-0.2048,0.0000,0.1535,0.2549,0.0004,0.0054,0.0040,0.5261,0.3249,0.0120,0.0106,0.0006,0.0006,0.0000,0.0000,0.0091,0.0000,0.0000,0.0000,0.0000,0.0049,0.0026,0.0000,0.0000,0.0000,0.0235,0.0216,0.7728,0.0099,0.0008,0.0007,0.0001,0.1579,0.0566,0.0012,1,1,22.4,64.6,343.1
50,1.667,haar,0.2246,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.3490,0.8049,0.0381,0.0216,0.2246,0.0156,0.0156,0.0815,0.0000,0.0121,0.0030,0.0458,-0.000674,IDLE,0,-0.2130,0.0000,0.1596,0.2651,0.0004,0.0056,0.0040,0.5241,0.3337,0.0111,0.0113,0.0007,0.0007,0.0000,0.0000,0.0089,0.0000,0.0000,0.0000,0.0000,0.0037,0.0000,0.0000,0.0000,0.0000,0.0216,0.0153,0.8049,0.0112,0.0007,0.0005,0.0001,0.1384,0.0433,0.0010,1,1,18.9,64.6,343.1
51,1.700,haar,0.2248,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.3490,0.8049,0.0385,0.0307,0.2248,0.0157,0.0158,0.0816,0.0000,0.0124,0.0031,0.0450,-0.000664,IDLE,0,-0.2171,0.0000,0.1622,0.2705,0.0004,0.0056,0.0039,0.5284,0.3334,0.0105,0.0123,0.0007,0.0008,0.0000,0.0000,0.0087,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0307,0.0107,0.8049,0.0112,0.0007,0.0005,0.0001,0.1384,0.0433,0.0010,1,1,22.3,64.6,343.1
52,1.733,haar,0.2015,Anger,CONC,---,AMBIGUOUS,---,0.0007,0.3102,0.7655,0.0385,0.0600,0.2015,0.0158,0.0159,0.0739,0.0000,0.0131,0.0037,0.0443,-0.000655,IDLE,0,-0.2075,0.0000,0.1559,0.2572,0.0004,0.0054,0.0039,0.5244,0.3356,0.0111,0.0143,0.0009,0.0010,0.0000,0.0000,0.0082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0175,0.0600,0.0024,0.7655,0.0087,0.0005,0.0007,0.0001,0.1624,0.0609,0.0012,1,1,17.9,64.6,343.1
53,1.767,haar,0.2015,Anger,CONC,---,AMBIGUOUS,---,0.0007,0.3102,0.7655,0.0384,0.0270,0.2015,0.0158,0.0159,0.0739,0.0000,0.0124,0.0037,0.0435,-0.000652,IDLE,0,-0.2004,0.0000,0.1511,0.2477,0.0004,0.0054,0.0039,0.5231,0.3382,0.0110,0.0152,0.0009,0.0011,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0003,0.0000,0.0000,0.0270,0.0000,0.7655,0.0087,0.0005,0.0007,0.0001,0.1624,0.0609,0.0012,1,1,17.2,64.6,343.1
54,1.800,haar,0.2316,Anger,CONC,---,AMBIGUOUS,---,0.0003,0.3596,0.8143,0.0397,0.0622,0.2316,0.0161,0.0161,0.0840,0.0000,0.0133,0.0030,0.0427,-0.000653,IDLE,0,-0.2158,0.0000,0.1511,0.2786,0.0004,0.0053,0.0039,0.5203,0.3364,0.0115,0.0173,0.0009,0.0011,0.0000,0.0000,0.0083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,0.0150,0.0622,0.0398,0.8143,0.0065,0.0004,0.0003,0.0001,0.1131,0.0647,0.0006,1,1,20.0,64.6,343.1
55,1.833,haar,0.2002,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.3068,0.7667,0.0402,0.0192,0.2002,0.0164,0.0165,0.0737,0.0000,0.0127,0.0038,0.0419,-0.000655,IDLE,0,-0.2175,0.0000,0.1469,0.2863,0.0004,0.0052,0.0039,0.5220,0.3419,0.0118,0.0179,0.0009,0.0011,0.0000,0.0000,0.0084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0049,0.0098,0.0192,0.0147,0.7667,0.0087,0.0004,0.0005,0.0001,0.1551,0.0674,0.0011,1,1,19.6,83.3,343.2
56,1.867,haar,0.2003,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.3068,0.7667,0.0405,0.0077,0.2003,0.0165,0.0166,0.0738,0.0000,0.0126,0.0039,0.0411,-0.000661,IDLE,0,-0.2193,0.0000,0.1443,0.2926,0.0004,0.0052,0.0039,0.5237,0.3468,0.0121,0.0181,0.0008,0.0010,0.0000,0.0000,0.0084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0077,0.0035,0.0092,0.7667,0.0087,0.0004,0.0005,0.0001,0.1551,0.0674,0.0011,1,1,20.4,83.3,343.2
57,1.900,haar,0.2386,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.3710,0.8308,0.0400,0.0109,0.2386,0.0163,0.0164,0.0865,0.0000,0.0125,0.0028,0.0404,-0.000666,IDLE,0,-0.2153,0.0000,0.1467,0.2821,0.0004,0.0055,0.0042,0.5267,0.3263,0.0117,0.0179,0.0008,0.0010,0.0000,0.0000,0.0086,0.0000,0.0000,0.0000,0.0000,0.0109,0.0103,0.0009,0.0049,0.0000,0.0000,0.0000,0.8308,0.0094,0.0008,0.0005,0.0001,0.1161,0.0412,0.0011,1,1,18.8,83.3,343.2
58,1.933,haar,0.2100,Anger,CONC,---,AMBIGUOUS,---,0.0007,0.3235,0.7852,0.0398,0.0104,0.2100,0.0164,0.0165,0.0770,0.0000,0.0125,0.0035,0.0397,-0.000675,IDLE,0,-0.2177,0.0000,0.1599,0.2737,0.0005,0.0055,0.0046,0.5314,0.3198,0.0118,0.0163,0.0008,0.0010,0.0000,0.0000,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0104,0.0008,0.0076,0.0018,0.0000,0.0000,0.7852,0.0087,0.0004,0.0007,0.0001,0.1486,0.0550,0.0013,1,1,17.7,83.3,343.2
59,1.967,haar,0.2457,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.3833,0.8267,0.0393,0.0012,0.2457,0.0160,0.0161,0.0887,0.0000,0.0121,0.0028,0.0390,-0.000685,IDLE,0,-0.2180,0.0000,0.1655,0.2686,0.0005,0.0055,0.0046,0.5369,0.3221,0.0108,0.0147,0.0009,0.0012,0.0000,0.0000,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.0006,0.0000,0.0000,0.0000,0.8267,0.0099,0.0008,0.0005,0.0001,0.1147,0.0465,0.0008,1,1,21.6,83.3,343.2
60,2.000,haar,0.2457,Anger,CONC,---,AMBIGUOUS,---,0.0005,0.3833,0.8267,0.0392,0.0024,0.2457,0.0160,0.0160,0.0887,0.0000,0.0121,0.0028,0.0382,-0.000681,IDLE,0,-0.2196,0.0000,0.1730,0.2640,0.0005,0.0055,0.0046,0.5395,0.3221,0.0104,0.0140,0.0009,0.0012,0.0000,0.0000,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0024,0.0006,0.0000,0.0000,0.0000,0.0000,0.8267,0.0099,0.0008,0.0005,0.0001,0.1147,0.0465,0.0008,1,1,23.8,83.3,343.2
61,2.033,haar,0.1917,Anger,CONC,---,AMBIGUOUS,---,0.0009,0.2933,0.7500,0.0394,0.0316,0.1917,0.0163,0.0164,0.0709,0.0000,0.0129,0.0041,0.0375,-0.000673,IDLE,0,-0.2274,0.0000,0.1754,0.2773,0.0005,0.0056,0.0050,0.5169,0.3230,0.0114,0.0136,0.0009,0.0012,0.0000,0.0000,0.0088,0.0000,0.0000,0.0000,0.0000,0.0035,0.0121,0.0000,0.0000,0.0316,0.0000,0.0069,0.7500,0.0081,0.0006,0.0009,0.0001,0.1721,0.0667,0.0015,1,1,18.2,83.3,343.2
62,2.067,haar,0.1918,Anger,CONC,---,AMBIGUOUS,---,0.0009,0.2933,0.7500,0.0395,0.0014,0.1918,0.0163,0.0164,0.0709,0.0000,0.0123,0.0041,0.0369,-0.000660,IDLE,0,-0.2314,0.0000,0.1755,0.2852,0.0005,0.0054,0.0050,0.5153,0.3299,0.0111,0.0132,0.0009,0.0012,0.0000,0.0000,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,0.0000,0.0000,0.0020,0.7500,0.0081,0.0006,0.0009,0.0001,0.1721,0.0667,0.0015,1,1,21.4,83.3,343.2
63,2.100,haar,0.2154,Anger,CONC,---,AMBIGUOUS,---,0.0006,0.3328,0.7835,0.0394,0.0046,0.2154,0.0161,0.0162,0.0787,0.0000,0.0122,0.0035,0.0362,-0.000648,IDLE,0,-0.2256,0.0000,0.1635,0.2855,0.0005,0.0051,0.0044,0.5195,0.3561,0.0109,0.0128,0.0009,0.0012,0.0000,0.0000,0.0090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0046,0.0000,0.0000,0.0000,0.7835,0.0105,0.0007,0.0006,0.0001,0.1436,0.0598,0.0012,1,1,20.0,83.3,343.2
64,2.133,haar,0.1601,Anger,CONC,---,AMBIGUOUS,---,0.0007,0.2411,0.7010,0.0386,0.0176,0.1601,0.0159,0.0160,0.0602,0.0000,0.0123,0.0047,0.0355,-0.000641,IDLE,0,-0.1979,0.0000,0.1232,0.2706,0.0005,0.0056,0.0040,0.5376,0.3787,0.0107,0.0115,0.0009,0.0012,0.0000,0.0000,0.0095,0.0000,0.0000,0.0000,0.0000,0.0176,0.0000,0.0003,0.0153,0.0000,0.0000,0.0000,0.7010,0.0058,0.0004,0.0007,0.0001,0.1491,0.1414,0.0014,1,1,20.8,83.3,343.2
65,2.167,haar,0.1600,Anger,CONC,---,AMBIGUOUS,---,0.0007,0.2411,0.7010,0.0384,0.0156,0.1600,0.0158,0.0159,0.0601,0.0000,0.0122,0.0047,0.0348,-0.000637,IDLE,0,-0.1842,0.0000,0.1099,0.2565,0.0005,0.0058,0.0038,0.5468,0.3928,0.0112,0.0108,0.0009,0.0011,0.0000,0.0000,0.0096,0.0000,0.0000,0.0000,0.0000,0.0048,0.0000,0.0002,0.0011,0.0156,0.0000,0.0000,0.7010,0.0058,0.0004,0.0007,0.0001,0.1491,0.1414,0.0014,1,1,20.3,83.3,343.2
66,2.200,haar,0.1189,Anger,CONC,---,AMBIGUOUS,---,0.0013,0.1735,0.6010,0.0371,0.0155,0.1189,0.0156,0.0158,0.0465,0.0000,0.0121,0.0062,0.0341,-0.000637,IDLE,0,-0.1567,0.0000,0.0960,0.2154,0.0006,0.0056,0.0038,0.5476,0.3941,0.0117,0.0107,0.0009,0.0012,0.0000,0.0000,0.0091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0000,0.0155,0.0000,0.0000,0.6010,0.0045,0.0005,0.0013,0.0001,0.1828,0.2078,0.0022,1,1,17.7,83.3,343.2
67,2.233,haar,0.1680,Anger,CONC,---,AMBIGUOUS,---,0.0013,0.2553,0.7086,0.0372,0.0474,0.1680,0.0157,0.0157,0.0629,0.0000,0.0128,0.0046,0.0334,-0.000632,IDLE,0,-0.1510,0.0000,0.0903,0.2092,0.0006,0.0054,0.0036,0.5448,0.4006,0.0133,0.0107,0.0012,0.0014,0.0000,0.0000,0.0091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0474,0.0000,0.0029,0.7086,0.0059,0.0007,0.0013,0.0001,0.1393,0.1424,0.0017,1,1,22.4,83.3,343.2
68,2.267,haar,0.1680,Anger,CONC,---,AMBIGUOUS,---,0.0013,0.2553,0.7086,0.0371,0.0182,0.1680,0.0156,0.0157,0.0629,0.0000,0.0122,0.0046,0.0327,-0.000627,IDLE,0,-0.1482,0.0000,0.0873,0.2062,0.0006,0.0053,0.0035,0.5428,0.4039,0.0139,0.0105,0.0013,0.0016,0.0000,0.0000,0.0091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0010,0.0182,0.0000,0.0000,0.7086,0.0059,0.0007,0.0013,0.0001,0.1393,0.1424,0.0017,1,1,20.2,83.3,343.2
69,2.300,haar,0.1582,Anger,CONC,---,AMBIGUOUS,---,0.0014,0.2388,0.7112,0.0373,0.0147,0.1582,0.0157,0.0158,0.0596,0.0000,0.0122,0.0045,0.0320,-0.000622,IDLE,0,-0.1489,0.0000,0.0901,0.2046,0.0006,0.0052,0.0036,0.5401,0.4044,0.0144,0.0106,0.0014,0.0016,0.0000,0.0000,0.0091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0004,0.0003,0.0147,0.0044,0.0041,0.7112,0.0031,0.0006,0.0014,0.0000,0.1091,0.1729,0.0017,1,1,18.9,83.3,343.2
70,2.333,haar,0.1288,Anger,CONC,---,AMBIGUOUS,---,0.0026,0.1898,0.6332,0.0374,0.0058,0.1288,0.0165,0.0166,0.0505,0.0000,0.0126,0.0061,0.0313,-0.000620,IDLE,0,-0.1504,0.0000,0.0899,0.2079,0.0006,0.0053,0.0036,0.5367,0.4053,0.0146,0.0106,0.0014,0.0016,0.0000,0.0000,0.0093,0.0000,0.0000,0.0000,0.0000,0.0044,0.0010,0.0007,0.0051,0.0058,0.0000,0.0041,0.6332,0.0037,0.0009,0.0026,0.0001,0.1428,0.2138,0.0030,1,1,20.7,83.3,343.2
71,2.367,haar,0.1778,Anger,CONC,---,AMBIGUOUS,---,0.0020,0.2716,0.7130,0.0369,0.0268,0.1778,0.0160,0.0159,0.0664,0.0000,0.0126,0.0046,0.0306,-0.000624,IDLE,0,-0.1437,0.0000,0.0809,0.2037,0.0007,0.0053,0.0037,0.5295,0.3977,0.0155,0.0101,0.0013,0.0015,0.0000,0.0000,0.0094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018,0.0019,0.0027,0.0268,0.0000,0.0000,0.7130,0.0042,0.0009,0.0020,0.0001,0.1030,0.1750,0.0018,1,1,18.2,83.3,343.2
72,2.400,haar,0.1776,Anger,CONC,---,AMBIGUOUS,---,0.0020,0.2716,0.7130,0.0366,0.0065,0.1776,0.0159,0.0158,0.0663,0.0000,0.0121,0.0046,0.0299,-0.000626,IDLE,0,-0.1423,0.0000,0.0791,0.2029,0.0008,0.0053,0.0037,0.5255,0.3931,0.0157,0.0095,0.0012,0.0014,0.0000,0.0000,0.0093,0.0000,0.0000,0.0000,0.0000,0.0001,0.0017,0.0016,0.0000,0.0065,0.0000,0.0000,0.7130,0.0042,0.0009,0.0020,0.0001,0.1030,0.1750,0.0018,1,1,19.1,83.3,343.2
73,2.433,haar,0.1333,Anger,CONC,---,AMBIGUOUS,---,0.0026,0.1977,0.6479,0.0366,0.0094,0.1333,0.0162,0.0162,0.0518,0.0000,0.0125,0.0057,0.0293,-0.000623,IDLE,0,-0.1415,0.0000,0.0776,0.2029,0.0008,0.0055,0.0038,0.5273,0.3863,0.0160,0.0093,0.0012,0.0014,0.0000,0.0000,0.0095,0.0000,0.0000,0.0000,0.0000,0.0048,0.0038,0.0009,0.0034,0.0094,0.0000,0.0000,0.6479,0.0060,0.0011,0.0026,0.0001,0.1612,0.1787,0.0024,1,1,18.7,83.3,343.2
74,2.467,haar,0.1750,Anger,---,---,AMBIGUOUS,---,0.0026,0.1977,0.6479,0.1410,0.0065,0.1750,0.0580,0.0579,0.0831,0.0000,0.0437,0.0204,0.0294,-0.000534,IDLE,0,-0.1406,0.0000,0.0788,0.1998,0.0008,0.0055,0.0039,0.5251,0.3841,0.0162,0.0093,0.0012,0.0014,0.0000,0.0000,0.0095,0.0000,0.0000,0.0000,0.0000,0.0013,0.0023,0.0005,0.0004,0.0065,0.0000,3.1317,0.6479,0.0060,0.0011,0.0026,0.0001,0.1612,0.1787,0.0024,1,1,18.7,83.3,343.2
75,2.500,haar,0.1050,Anger,CONC,---,AMBIGUOUS,---,0.0030,0.1506,0.6077,0.0364,0.0038,0.1050,0.0163,0.0163,0.0425,0.0000,0.0125,0.0064,0.0288,-0.000530,IDLE,0,-0.1405,0.0000,0.0765,0.2019,0.0008,0.0056,0.0040,0.5230,0.3819,0.0159,0.0094,0.0012,0.0014,0.0000,0.0000,0.0094,0.0000,0.0000,0.0000,0.0000,0.0026,0.0026,0.0005,0.0000,0.0000,0.0038,0.0000,0.6077,0.0057,0.0010,0.0030,0.0001,0.1739,0.2061,0.0026,1,1,19.0,83.3,343.2
